name,department,email,branch,roll_no
Shaylynn,Klimentyev,sklimentyev0@cisco.com,Klimentyev,191919
Thaddeus,Grushin,tgrushin1@umn.edu,Grushin,191919
Hayden,Cranmer,hcranmer2@nationalgeographic.com,Cranmer,191919
Colet,Ferfulle,cferfulle3@unesco.org,Ferfulle,191919
Ernestine,Hardi,ehardi4@virginia.edu,Hardi,191919
Freddi,Knagges,fknagges5@ifeng.com,Knagges,191919
Christina,Choak,cchoak6@gizmodo.com,Choak,191919
Glenden,Slaymaker,gslaymaker7@delicious.com,Slaymaker,191919
Shandee,Shackell,sshackell8@gravatar.com,Shackell,191919
Odelinda,Pink,opink9@twitter.com,Pink,191919
Jaclin,Chivrall,jchivralla@printfriendly.com,Chivrall,191919
Sherwin,Belchambers,sbelchambersb@reuters.com,Belchambers,191919
Marina,Jiru,mjiruc@statcounter.com,Jiru,191919
Ezri,Alvy,ealvyd@etsy.com,Alvy,191919
Ayn,Lowndsbrough,alowndsbroughe@cyberchimps.com,Lowndsbrough,191919
Melina,McGiffin,mmcgiffinf@adobe.com,McGiffin,191919
Keith,Butler-Bowdon,kbutlerbowdong@hao123.com,Butler-Bowdon,191919
Trenton,Stirrup,tstirruph@go.com,Stirrup,191919
Fin,Southerill,fsoutherilli@bloglines.com,Southerill,191919
Carney,Penk,cpenkj@craigslist.org,Penk,191919
Les,Giraudeau,lgiraudeauk@cnbc.com,Giraudeau,191919
Ashley,Gilhool,agilhooll@amazon.co.jp,Gilhool,191919
Ashien,Blundon,ablundonm@deviantart.com,Blundon,191919
Vivyan,Easterby,veasterbyn@devhub.com,Easterby,191919
